mi|Xelaev18011321m.g|	 tmem39a.L
mi|Xelaev18033305m.g|	 Xelaev18033305m.g
mi|Xelaev18018268m.g|	 Xelaev18018268m.g
mi|Xelaev18041300m.g|	 prima1-like.S
mi|Xelaev18026101m.g|	 Xelaev18026101m.g
mi|Xelaev18027752m.g|	 gyg1.L
mi|Xelaev18016042m.g|	 Xelaev18016042m.g
mi|Xelaev18021147m.g|	 osbpl8.S
mi|Xelaev18037744m.g|	 cnfn.1.S
mi|Xelaev18022604m.g|	 loc105947254.L
mi|Xelaev18013476m.g|	 letmd1.L
mi|Xelaev18012116m.g|	 cep85.L
mi|Xelaev18040714m.g|	 Xelaev18040714m.g
mi|Xelaev18017215m.g|	 gpr151.L
mi|Xelaev18010051m.g|	 psip1.S
mi|Xelaev18030974m.g|	 nfe2l3.L
mi|Xelaev18039075m.g|	 exoc3l2.L
mi|Xelaev18024652m.g|	 Xelaev18024652m.g
mi|Xelaev18016708m.g|	 Xelaev18016708m.g
mi|Xelaev18012256m.g|	 loc105945417.L
mi|Xelaev18034214m.g|	 gpam.L
mi|Xelaev18010932m.g|	 Xelaev18010932m.g
mi|Xelaev18045299m.g|	 lmtk2.L
mi|Xelaev18033000m.g|	 Xelaev18033000m.g
mi|Xelaev18032587m.g|	 asic3.S
mi|Xelaev18035167m.g|	 paox.L
mi|Xelaev18004930m.g|	 Xelaev18004930m.g
mi|Xelaev18036444m.g|	 atp4a.L
mi|Xelaev18046784m.g|	 Xelaev18046784m.g
mi|Xelaev18022937m.g|	 cryz.L
mi|Xelaev18040129m.g|	 Xelaev18040129m.g
mi|Xelaev18036101m.g|	 Xelaev18036101m.g
mi|Xelaev18046858m.g|	 Xelaev18046858m.g
mi|Xelaev18004578m.g|	 loc101734985.1.L
mi|Xelaev18029616m.g|	 Xelaev18029616m.g
mi|Xelaev18009865m.g|	 arhgef18.S
mi|Xelaev18007943m.g|	 fbn2.L
mi|Xelaev18014199m.g|	 tbl2.S
mi|Xelaev18044276m.g|	 pecam1.L
mi|Xelaev18019683m.g|	 aebp2.S
mi|Xelaev18041781m.g|	 avpr2.S
mi|Xelaev18037506m.g|	 dvl1.S
mi|Xelaev18033466m.g|	 Xelaev18033466m.g
mi|Xelaev18021792m.g|	 tmem41b.L
mi|Xelaev18022090m.g|	 ap2a2.L
mi|Xelaev18035952m.g|	 xa-1-like.L
mi|Xelaev18015910m.g|	 tmem194a.S
mi|Xelaev18014503m.g|	 Xetrov90025942m.S
mi|Xelaev18039740m.g|	 Xelaev18039740m.g
mi|Xelaev18023126m.g|	 faah.3.L
mi|Xelaev18023162m.g|	 dmrta2.L
mi|Xelaev18020286m.g|	 Xelaev18020286m.g
mi|Xelaev18047751m.g|	 grap.S
mi|Xelaev18030041m.g|	 pxdn.S
mi|Xelaev18032253m.g|	 ywhaz.L
mi|Xelaev18000142m.g|	 nol6.L
mi|Xelaev18028507m.g|	 etaa1.S
mi|Xelaev18045012m.g|	 slc40a1.L
mi|Xelaev18044291m.g|	 rnf135.L
mi|Xelaev18003632m.g|	 Xelaev18003632m.g
mi|Xelaev18024423m.g|	 ppfibp2-like.S
mi|Xelaev18034733m.g|	 Xelaev18034733m.g
mi|Xelaev18015949m.g|	 os9.S
mi|Xelaev18045949m.g|	 Xelaev18045949m.g
mi|Xelaev18021237m.g|	 Xelaev18021237m.g
mi|Xelaev18043910m.g|	 Xelaev18043910m.g
mi|Xelaev18036614m.g|	 gpam.S
mi|Xelaev18014488m.g|	 mab21l3.S
mi|Xelaev18002429m.g|	 Xelaev18002429m.g
mi|Xelaev18021267m.g|	 Xelaev18021267m.g
mi|Xelaev18029494m.g|	 bmp5.S
mi|Xelaev18014581m.g|	 myo1c.S
mi|Xelaev18031247m.g|	 kbtbd2.L
mi|Xelaev18034013m.g|	 oc90.S
mi|Xelaev18008094m.g|	 Xelaev18008094m.g
mi|Xelaev18004657m.g|	 Xelaev18004657m.g
mi|Xelaev18014748m.g|	 atp6ap2.S
mi|Xelaev18045044m.g|	 itgav.L
mi|Xelaev18045151m.g|	 Xelaev18045151m.g
mi|Xelaev18038742m.g|	 kdrl.L
mi|Xelaev18018049m.g|	 Xelaev18018049m.g
mi|Xelaev18022704m.g|	 trhr2.L
mi|Xelaev18021056m.g|	 cped1.S
mi|Xelaev18001921m.g|	 zfpm1.S
mi|Xelaev18031839m.g|	 Xelaev18031839m.g
mi|Xelaev18033516m.g|	 scgn.S
mi|Xelaev18024975m.g|	 Xelaev18024975m.g
mi|Xelaev18027723m.g|	 loc100496697-like.L
mi|Xelaev18029458m.g|	 cox7a2.S
mi|Xelaev18013930m.g|	 loc100489326.L
mi|Xelaev18041628m.g|	 urm1.S
mi|Xelaev18016137m.g|	 foxo1.S
mi|Xelaev18018792m.g|	 ikbkb.L
mi|Xelaev18005914m.g|	 Xelaev18005914m.g
mi|Xelaev18026472m.g|	 prokr2.L
mi|Xelaev18030752m.g|	 Xelaev18030752m.g
mi|Xelaev18046619m.g|	 rbm39.S
mi|Xelaev18031341m.g|	 Xelaev18031341m.g
mi|Xelaev18036918m.g|	 taf5.S
mi|Xelaev18019400m.g|	 Xelaev18019400m.g
mi|Xelaev18040554m.g|	 ca14.L
mi|Xelaev18046667m.g|	 xylt2.S
mi|Xelaev18005842m.g|	 gc.L
mi|Xelaev18009359m.g|	 Xelaev18009359m.g
mi|Xelaev18036606m.g|	 sorcs1.S
mi|Xelaev18037645m.g|	 Xelaev18037645m.g
mi|Xelaev18025377m.g|	 loc100489346.S
mi|Xelaev18045637m.g|	 phkg2.L
mi|Xelaev18033837m.g|	 Xelaev18033837m.g
mi|Xelaev18011758m.g|	 Xelaev18011758m.g
mi|Xelaev18003726m.g|	 Xelaev18003726m.g
mi|Xelaev18029220m.g|	 pln.S
mi|Xelaev18043027m.g|	 loc101734468.S
mi|Xelaev18042122m.g|	 Xelaev18042122m.g
mi|Xelaev18021052m.g|	 fezf1.S
mi|Xelaev18010319m.g|	 loc100488993.S
mi|Xelaev18022971m.g|	 slc35d1.L
mi|Xelaev18020581m.g|	 adamtsl3.S
mi|Xelaev18005519m.g|	 Xelaev18005519m.g
mi|Xelaev18009877m.g|	 pde4c-like.S
mi|Xelaev18022314m.g|	 eif1ad.L
mi|Xelaev18039831m.g|	 Xelaev18039831m.g
mi|Xelaev18032243m.g|	 plekhf2.L
mi|Xelaev18032746m.g|	 ngfr.S
mi|Xelaev18041669m.g|	 Xelaev18041669m.g
mi|Xelaev18013396m.g|	 gls2.L
mi|Xelaev18016247m.g|	 loc101731110.S
mi|Xelaev18021991m.g|	 ppp1r32.L
mi|Xelaev18029779m.g|	 gpr149.S
mi|Xelaev18029566m.g|	 lrch3.S
mi|Xelaev18020602m.g|	 sppl2a.S
mi|Xelaev18035176m.g|	 nmnat1.L
mi|Xelaev18007537m.g|	 Xelaev18007537m.g
mi|Xelaev18017015m.g|	 pcdhac2.L
mi|Xelaev18032957m.g|	 Xelaev18032957m.g
mi|Xelaev18040780m.g|	 ndufs2.L
mi|Xelaev18034658m.g|	 Xelaev18034658m.g
mi|Xelaev18012226m.g|	 Xetrov90005081m.L
mi|Xelaev18034636m.g|	 Xelaev18034636m.g
mi|Xelaev18032735m.g|	 dhx30.S
mi|Xelaev18016238m.g|	 il17d.S
mi|Xelaev18037470m.g|	 Xelaev18037470m.g
mi|Xelaev18008306m.g|	 Xelaev18008306m.g
mi|Xelaev18047172m.g|	 pdk1.S
mi|Xelaev18031760m.g|	 mbp.L
mi|Xelaev18006633m.g|	 Xelaev18006633m.g
mi|Xelaev18006221m.g|	 reep6.L
mi|Xelaev18012666m.g|	 usp32.L
mi|Xelaev18024949m.g|	 irf8.S
mi|Xelaev18021183m.g|	 il22.S
mi|Xelaev18044728m.g|	 Xelaev18044728m.g
mi|Xelaev18031039m.g|	 Xelaev18031039m.g
mi|Xelaev18000725m.g|	 loc100497082.S
mi|Xelaev18019690m.g|	 loc100495106.S
mi|Xelaev18003978m.g|	 Xelaev18003978m.g
mi|Xelaev18042187m.g|	 cd99l2.S
mi|Xelaev18036942m.g|	 Xelaev18036942m.g
mi|Xelaev18035846m.g|	 loc100493795.L
mi|Xelaev18043520m.g|	 adrm1.L
mi|Xelaev18014358m.g|	 ripk4.S
mi|Xelaev18018368m.g|	 mrps11.L
mi|Xelaev18011242m.g|	 Xelaev18011242m.g
mi|Xelaev18033207m.g|	 Xelaev18033207m.g
mi|Xelaev18013722m.g|	 fry.L
mi|Xelaev18014992m.g|	 loc100487263.S
mi|Xelaev18036027m.g|	 loc100488079-like.L
mi|Xelaev18000405m.g|	 Xelaev18000405m.g
mi|Xelaev18004307m.g|	 Xetrov90002498m.1
mi|Xelaev18017295m.g|	 grk6-like.L
mi|Xelaev18034410m.g|	 cd4.L
mi|Xelaev18036355m.g|	 Xelaev18036355m.g
mi|Xelaev18035103m.g|	 Xelaev18035103m.g
mi|Xelaev18031653m.g|	 Xelaev18031653m.g
mi|Xelaev18008203m.g|	 Xelaev18008203m.g
mi|Xelaev18043227m.g|	 hoxb5.L
mi|Xelaev18021850m.g|	 Xelaev18021850m.g
mi|Xelaev18030610m.g|	 Xelaev18030610m.g
mi|Xelaev18007518m.g|	 loc100498402.L
mi|Xelaev18008772m.g|	 cyp26b1.S
mi|Xelaev18013328m.g|	 tuba4a.L
mi|Xelaev18037710m.g|	 il11.S
mi|Xelaev18007188m.g|	 Xelaev18007188m.g
mi|Xelaev18024896m.g|	 loc100496630.S
mi|Xelaev18007534m.g|	 slc7a4.L
mi|Xelaev18010272m.g|	 Xelaev18010272m.g
mi|Xelaev18021681m.g|	 Xelaev18021681m.g
mi|Xelaev18022264m.g|	 mtl5.L
mi|Xelaev18019743m.g|	 wnt7b.S
mi|Xelaev18021476m.g|	 ndfip1.S
mi|Xelaev18008148m.g|	 Xelaev18008148m.g
mi|Xelaev18012770m.g|	 psph.L
mi|Xelaev18039360m.g|	 gltscr1.L
mi|Xelaev18046939m.g|	 Xelaev18046939m.g
mi|Xelaev18007878m.g|	 Xelaev18007878m.g
mi|Xelaev18042878m.g|	 Xelaev18042878m.g
mi|Xelaev18030021m.g|	 ccl20b.S
mi|Xelaev18026863m.g|	 prr18.L
mi|Xelaev18047854m.g|	 loc100493957.S
mi|Xelaev18015767m.g|	 Xelaev18015767m.g
mi|Xelaev18034357m.g|	 minpp1-like.1.L
mi|Xelaev18006028m.g|	 Xelaev18006028m.g
mi|Xelaev18009701m.g|	 Xelaev18009701m.g
mi|Xelaev18001925m.g|	 cyba.S
mi|Xelaev18025238m.g|	 faah.3.S
mi|Xelaev18033701m.g|	 mcm4.S
mi|Xelaev18039358m.g|	 Xelaev18039358m.g
mi|Xelaev18004462m.g|	 Xelaev18004462m.g
mi|Xelaev18017437m.g|	 ccdc59.L
mi|Xelaev18014874m.g|	 btg2.S
mi|Xelaev18010950m.g|	 Xelaev18010950m.g
mi|Xelaev18025649m.g|	 Xelaev18025649m.g
mi|Xelaev18000551m.g|	 Xelaev18000551m.g
mi|Xelaev18018444m.g|	 Xelaev18018444m.g
mi|Xelaev18029021m.g|	 pdcd2.S
mi|Xelaev18043751m.g|	 arhgdia.L
mi|Xelaev18006547m.g|	 nans.L
mi|Xelaev18014324m.g|	 cbr3.S
mi|Xelaev18047379m.g|	 klf7.S
mi|Xelaev18046986m.g|	 loc100488277.S
